question_id,question__title,question__title_slug,difficulty,paid_only,status,frequency,is_favor,frontend_question_id,total_acs,total_submitted,question__hide,is_new_question
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,3,False,,0,False,25,1291429,2030677,False,
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,1,False,,0,False,26,6550079,10775012,False,
27,Remove Element,remove-element,1,False,,0,False,27,4408190,7308301,False,
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,1,False,,0,False,28,3465972,7659245,False,
29,Divide Two Integers,divide-two-integers,2,False,,0,False,29,982084,5289003,False,
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,3,False,,0,False,30,603722,1821068,False,
31,Next Permutation,next-permutation,2,False,,0,False,31,1919666,4415711,False,
32,Longest Valid Parentheses,longest-valid-parentheses,3,False,,0,False,32,940470,2566866,False,
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,2,False,,0,False,33,3762700,8723452,False,
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,2,False,,0,False,34,2806173,5948813,False,
35,Search Insert Position,search-insert-position,1,False,,0,False,35,4003249,8108630,False,
36,Valid Sudoku,valid-sudoku,2,False,,0,False,36,2074981,3317744,False,
37,Sudoku Solver,sudoku-solver,3,False,,0,False,37,810333,1264686,False,
38,Count and Say,count-and-say,2,False,,0,False,38,1262463,2072606,False,
39,Combination Sum,combination-sum,2,False,,0,False,39,2671152,3559454,False,
40,Combination Sum II,combination-sum-ii,2,False,,0,False,40,1454430,2510076,False,
41,First Missing Positive,first-missing-positive,3,False,,0,False,41,1521959,3681525,False,
42,Trapping Rain Water,trapping-rain-water,3,False,,0,False,42,2972838,4537514,False,
43,Multiply Strings,multiply-strings,2,False,,0,False,43,1007425,2370769,False,
44,Wildcard Matching,wildcard-matching,3,False,,0,False,44,750640,2481571,False,
45,Jump Game II,jump-game-ii,2,False,,0,False,45,1813163,4345493,False,
46,Permutations,permutations,2,False,,0,False,46,2703295,3341396,False,
47,Permutations II,permutations-ii,2,False,,0,False,47,1141087,1843716,False,
48,Rotate Image,rotate-image,2,False,,0,False,48,2404466,3072246,False,
49,Group Anagrams,group-anagrams,2,False,,0,False,49,3979214,5587887,False,
50,"Pow(x, n)",powx-n,2,False,,0,False,50,2329327,6242351,False,
51,N-Queens,n-queens,3,False,,0,False,51,1045529,1424142,False,
52,N-Queens II,n-queens-ii,3,False,,0,False,52,513268,666053,False,
53,Maximum Subarray,maximum-subarray,2,False,,0,False,53,5213800,9972296,False,
54,Spiral Matrix,spiral-matrix,2,False,,0,False,54,2020148,3709372,False,
55,Jump Game,jump-game,2,False,,0,False,55,2740565,6898964,False,
56,Merge Intervals,merge-intervals,2,False,,0,False,56,3355528,6754438,False,
57,Insert Interval,insert-interval,2,False,,0,False,57,1515601,3463289,False,
58,Length of Last Word,length-of-last-word,1,False,,0,False,58,2878815,5072313,False,
59,Spiral Matrix II,spiral-matrix-ii,2,False,,0,False,59,708421,961569,False,
60,Permutation Sequence,permutation-sequence,3,False,,0,False,60,495824,984466,False,
61,Rotate List,rotate-list,2,False,,0,False,61,1355887,3371193,False,
62,Unique Paths,unique-paths,2,False,,0,False,62,2444200,3706032,False,
63,Unique Paths II,unique-paths-ii,2,False,,0,False,63,1271288,2930145,False,
64,Minimum Path Sum,minimum-path-sum,2,False,,0,False,64,1589233,2378231,False,
65,Valid Number,valid-number,3,False,,0,False,65,464109,2134204,False,
66,Plus One,plus-one,1,False,,0,False,66,3058250,6400645,False,
67,Add Binary,add-binary,1,False,,0,False,67,1932503,3457502,False,
68,Text Justification,text-justification,3,False,,0,False,68,561432,1155432,False,
69,Sqrt(x),sqrtx,1,False,,0,False,69,2692871,6639889,False,
70,Climbing Stairs,climbing-stairs,1,False,,0,False,70,4408539,8220915,False,
71,Simplify Path,simplify-path,2,False,,0,False,71,1131869,2341703,False,
72,Edit Distance,edit-distance,2,False,,0,False,72,1221486,2065863,False,
73,Set Matrix Zeroes,set-matrix-zeroes,2,False,,0,False,73,2186818,3577516,False,
74,Search a 2D Matrix,search-a-2d-matrix,2,False,,0,False,74,2471864,4699977,False,
75,Sort Colors,sort-colors,2,False,,0,False,75,3116311,4584669,False,
76,Minimum Window Substring,minimum-window-substring,3,False,,0,False,76,1828915,4000529,False,
77,Combinations,combinations,2,False,,0,False,77,1165382,1591863,False,
78,Subsets,subsets,2,False,,0,False,78,2619762,3226671,False,
79,Word Search,word-search,2,False,,0,False,79,2174965,4767045,False,
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,2,False,,0,False,80,1632072,2581879,False,
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,2,False,,0,False,81,1028689,2634401,False,
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,2,False,,0,False,82,958553,1908611,False,
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,1,False,,0,False,83,2025652,3671757,False,
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,3,False,,0,False,84,1264434,2642198,False,
85,Maximal Rectangle,maximal-rectangle,3,False,,0,False,85,621845,1145392,False,
86,Partition List,partition-list,2,False,,0,False,86,795279,1340413,False,
87,Scramble String,scramble-string,3,False,,0,False,87,276022,649046,False,
88,Merge Sorted Array,merge-sorted-array,1,False,,0,False,88,4825634,9058687,False,
89,Gray Code,gray-code,2,False,,0,False,89,361609,580576,False,
90,Subsets II,subsets-ii,2,False,,0,False,90,1269895,2121576,False,
91,Decode Ways,decode-ways,2,False,,0,False,91,1497399,4072253,False,
92,Reverse Linked List II,reverse-linked-list-ii,2,False,,0,False,92,1135270,2275600,False,
93,Restore IP Addresses,restore-ip-addresses,2,False,,0,False,93,553648,1033203,False,
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,1,False,,0,False,94,3248423,4117664,False,
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,2,False,,0,False,95,524733,864138,False,
96,Unique Binary Search Trees,unique-binary-search-trees,2,False,,0,False,96,781426,1247947,False,
97,Interleaving String,interleaving-string,2,False,,0,False,97,680637,1603632,False,
98,Validate Binary Search Tree,validate-binary-search-tree,2,False,,0,False,98,2957365,8552008,False,
99,Recover Binary Search Tree,recover-binary-search-tree,2,False,,0,False,99,570648,1002295,False,
100,Same Tree,same-tree,1,False,,0,False,100,2935623,4482026,False,
101,Symmetric Tree,symmetric-tree,1,False,,0,False,101,2544355,4267362,False,
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,2,False,,0,False,102,2951109,4156949,False,
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,2,False,,0,False,103,1549722,2496580,False,
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,1,False,,0,False,104,4155263,5373120,False,
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,2,False,,0,False,105,1634163,2431355,False,
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,2,False,,0,False,106,837626,1257861,False,
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,2,False,,0,False,107,754332,1136407,False,
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,1,False,,0,False,108,1528628,2056313,False,
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,2,False,,0,False,109,621512,959227,False,
110,Balanced Binary Tree,balanced-binary-tree,1,False,,0,False,110,2038035,3653777,False,
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,1,False,,0,False,111,1481642,2903583,False,
112,Path Sum,path-sum,1,False,,0,False,112,1884344,3533137,False,
113,Path Sum II,path-sum-ii,2,False,,0,False,113,1049285,1726014,False,
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,2,False,,0,False,114,1234334,1789873,False,
115,Distinct Subsequences,distinct-subsequences,3,False,,0,False,115,579966,1149248,False,
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,2,False,,0,False,116,1231725,1872846,False,
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,2,False,,0,False,117,769497,1376354,False,
118,Pascal's Triangle,pascals-triangle,1,False,,0,False,118,2332743,2994199,False,
119,Pascal's Triangle II,pascals-triangle-ii,1,False,,0,False,119,1088106,1643747,False,
120,Triangle,triangle,2,False,,0,False,120,1037254,1744740,False,
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,1,False,,0,False,121,6723282,12111291,False,
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,2,False,,0,False,122,2636418,3777669,False,
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,3,False,,0,False,123,825610,1597237,False,
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,3,False,,0,False,124,1654808,3996971,False,
125,Valid Palindrome,valid-palindrome,1,False,,0,False,125,4478544,8716075,False,
126,Word Ladder II,word-ladder-ii,3,False,,0,False,126,421445,1550734,False,
127,Word Ladder,word-ladder,3,False,,0,False,127,1411859,3258836,False,
128,Longest Consecutive Sequence,longest-consecutive-sequence,2,False,,0,False,128,2715200,5779935,False,
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,2,False,,0,False,129,1144910,1664844,False,
130,Surrounded Regions,surrounded-regions,2,False,,0,False,130,1008947,2327180,False,
131,Palindrome Partitioning,palindrome-partitioning,2,False,,0,False,131,1169338,1611523,False,
132,Palindrome Partitioning II,palindrome-partitioning-ii,3,False,,0,False,132,355787,1000857,False,
133,Clone Graph,clone-graph,2,False,,0,False,133,1657731,2634020,False,
134,Gas Station,gas-station,2,False,,0,False,134,1150223,2466366,False,
135,Candy,candy,3,False,,0,False,135,887583,1887511,False,
136,Single Number,single-number,1,False,,0,False,136,3879201,5083465,False,
137,Single Number II,single-number-ii,2,False,,0,False,137,768353,1171816,False,
138,Copy List with Random Pointer,copy-list-with-random-pointer,2,False,,0,False,138,1679000,2752580,False,
139,Word Break,word-break,2,False,,0,False,139,2127595,4391336,False,
140,Word Break II,word-break-ii,3,False,,0,False,140,760302,1409957,False,
141,Linked List Cycle,linked-list-cycle,1,False,,0,False,141,4143598,7834456,False,
142,Linked List Cycle II,linked-list-cycle-ii,2,False,,0,False,142,1720243,3098735,False,
143,Reorder List,reorder-list,2,False,,0,False,143,1299853,2063631,False,
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,1,False,,0,False,144,2124729,2881207,False,
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,1,False,,0,False,145,1707945,2240405,False,
146,LRU Cache,lru-cache,2,False,,0,False,146,2202414,4832965,False,
147,Insertion Sort List,insertion-sort-list,2,False,,0,False,147,437675,770432,False,
148,Sort List,sort-list,2,False,,0,False,148,1088956,1747234,False,
149,Max Points on a Line,max-points-on-a-line,3,False,,0,False,149,475546,1627428,False,
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,2,False,,0,False,150,1450923,2620815,False,
151,Reverse Words in a String,reverse-words-in-a-string,2,False,,0,False,151,2494755,4723588,False,
152,Maximum Product Subarray,maximum-product-subarray,2,False,,0,False,152,1720733,4892140,False,
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,2,False,,0,False,153,2552017,4822734,False,
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,3,False,,0,False,154,546358,1237092,False,
155,Min Stack,min-stack,2,False,,0,False,155,2304150,4061484,False,
156,Binary Tree Upside Down,binary-tree-upside-down,2,True,,0,False,156,113352,175392,False,
157,Read N Characters Given Read4,read-n-characters-given-read4,1,True,,0,False,157,204427,483214,False,
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,3,True,,0,False,158,192945,448978,False,
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,2,True,,0,False,159,289807,512130,False,
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,1,False,,0,False,160,2066999,3353545,False,
161,One Edit Distance,one-edit-distance,2,True,,0,False,161,227688,659958,False,
162,Find Peak Element,find-peak-element,2,False,,0,False,162,2037638,4378595,False,
163,Missing Ranges,missing-ranges,1,True,,0,False,163,295946,837542,False,
164,Maximum Gap,maximum-gap,2,False,,0,False,164,287378,577495,False,
165,Compare Version Numbers,compare-version-numbers,2,False,,0,False,165,557499,1309344,False,
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,2,False,,0,False,166,261594,991103,False,
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,2,False,,0,False,167,2834208,4453443,False,
168,Excel Sheet Column Title,excel-sheet-column-title,1,False,,0,False,168,649195,1476023,False,
169,Majority Element,majority-element,1,False,,0,False,169,4539732,6898879,False,
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,1,True,,0,False,170,171869,443692,False,
171,Excel Sheet Column Number,excel-sheet-column-number,1,False,,0,False,171,811425,1228726,False,
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,2,False,,0,False,172,577504,1281688,False,
173,Binary Search Tree Iterator,binary-search-tree-iterator,2,False,,0,False,173,991473,1318080,False,
174,Dungeon Game,dungeon-game,3,False,,0,False,174,266851,671007,False,
175,Combine Two Tables,combine-two-tables,1,False,,0,False,175,1386660,1771473,False,
176,Second Highest Salary,second-highest-salary,2,False,,0,False,176,1227077,2762757,False,
177,Nth Highest Salary,nth-highest-salary,2,False,,0,False,177,528132,1380857,False,
178,Rank Scores,rank-scores,2,False,,0,False,178,532531,810991,False,
179,Largest Number,largest-number,2,False,,0,False,179,738074,1777686,False,
180,Consecutive Numbers,consecutive-numbers,2,False,,0,False,180,597950,1287896,False,
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,1,False,,0,False,181,878353,1223483,False,
182,Duplicate Emails,duplicate-emails,1,False,,0,False,182,912986,1256739,False,
183,Customers Who Never Order,customers-who-never-order,1,False,,0,False,183,1067542,1507279,False,
184,Department Highest Salary,department-highest-salary,2,False,,0,False,184,525289,949400,False,
185,Department Top Three Salaries,department-top-three-salaries,3,False,,0,False,185,523024,898671,False,
186,Reverse Words in a String II,reverse-words-in-a-string-ii,2,True,,0,False,186,175377,312296,False,
187,Repeated DNA Sequences,repeated-dna-sequences,2,False,,0,False,187,468040,906051,False,
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,3,False,,0,False,188,620844,1299677,False,
189,Rotate Array,rotate-array,2,False,,0,False,189,3304487,7621272,False,
190,Reverse Bits,reverse-bits,1,False,,0,False,190,1042185,1634524,False,
191,Number of 1 Bits,number-of-1-bits,1,False,,0,False,191,1863565,2487247,False,
192,Word Frequency,word-frequency,2,False,,0,False,192,65013,237295,False,
193,Valid Phone Numbers,valid-phone-numbers,1,False,,0,False,193,108307,390487,False,
194,Transpose File,transpose-file,2,False,,0,False,194,34258,118947,False,
195,Tenth Line,tenth-line,1,False,,0,False,195,135403,388940,False,
196,Delete Duplicate Emails,delete-duplicate-emails,1,False,,0,False,196,772762,1196220,False,
197,Rising Temperature,rising-temperature,1,False,,0,False,197,1186624,2355037,False,
198,House Robber,house-robber,2,False,,0,False,198,3043108,5801206,False,
199,Binary Tree Right Side View,binary-tree-right-side-view,2,False,,0,False,199,1913059,2827310,False,
200,Number of Islands,number-of-islands,2,False,,0,False,200,3584294,5720278,False,
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,2,False,,0,False,201,468209,976361,False,
202,Happy Number,happy-number,1,False,,0,False,202,1947673,3339238,False,
203,Remove Linked List Elements,remove-linked-list-elements,1,False,,0,False,203,1413441,2699497,False,
204,Count Primes,count-primes,2,False,,0,False,204,1100973,3143256,False,
205,Isomorphic Strings,isomorphic-strings,1,False,,0,False,205,1864183,3954558,False,
206,Reverse Linked List,reverse-linked-list,1,False,,0,False,206,5484973,6901376,False,
207,Course Schedule,course-schedule,2,False,,0,False,207,2192935,4418179,False,
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,2,False,,0,False,208,1367079,2002989,False,
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,2,False,,0,False,209,1537960,3092093,False,
210,Course Schedule II,course-schedule-ii,2,False,,0,False,210,1448413,2691320,False,
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,2,False,,0,False,211,795483,1681653,False,
212,Word Search II,word-search-ii,3,False,,0,False,212,813698,2171504,False,
213,House Robber II,house-robber-ii,2,False,,0,False,213,1055847,2408638,False,
214,Shortest Palindrome,shortest-palindrome,3,False,,0,False,214,317734,776649,False,
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,2,False,,0,False,215,3135788,4597469,False,
216,Combination Sum III,combination-sum-iii,2,False,,0,False,216,695825,964262,False,
217,Contains Duplicate,contains-duplicate,1,False,,0,False,217,5400664,8517720,False,
218,The Skyline Problem,the-skyline-problem,3,False,,0,False,218,325941,738562,False,
219,Contains Duplicate II,contains-duplicate-ii,1,False,,0,False,219,1437058,2909005,False,
220,Contains Duplicate III,contains-duplicate-iii,3,False,,0,False,220,288039,1212424,False,
221,Maximal Square,maximal-square,2,False,,0,False,221,838408,1709989,False,
222,Count Complete Tree Nodes,count-complete-tree-nodes,1,False,,0,False,222,1010594,1433130,False,
223,Rectangle Area,rectangle-area,2,False,,0,False,223,253828,533829,False,
224,Basic Calculator,basic-calculator,3,False,,0,False,224,619498,1350226,False,
225,Implement Stack using Queues,implement-stack-using-queues,1,False,,0,False,225,958337,1412162,False,
226,Invert Binary Tree,invert-binary-tree,1,False,,0,False,226,2693799,3400658,False,
227,Basic Calculator II,basic-calculator-ii,2,False,,0,False,227,858956,1866383,False,
228,Summary Ranges,summary-ranges,1,False,,0,False,228,820296,1541825,False,
229,Majority Element II,majority-element-ii,2,False,,0,False,229,1039953,1898396,False,
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,2,False,,0,False,230,1953472,2582817,False,
231,Power of Two,power-of-two,1,False,,0,False,231,1766086,3639213,False,
232,Implement Queue using Stacks,implement-queue-using-stacks,1,False,,0,False,232,1250184,1829586,False,
233,Number of Digit One,number-of-digit-one,3,False,,0,False,233,119171,329132,False,
234,Palindrome Linked List,palindrome-linked-list,1,False,,0,False,234,2522904,4485003,False,
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,2,False,,0,False,235,1980438,2879973,False,
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,2,False,,0,False,236,2252318,3348150,False,
237,Delete Node in a Linked List,delete-node-in-a-linked-list,2,False,,0,False,237,1790961,2166691,False,
238,Product of Array Except Self,product-of-array-except-self,2,False,,0,False,238,3822029,5626054,False,
239,Sliding Window Maximum,sliding-window-maximum,3,False,,0,False,239,1393398,2915514,False,
240,Search a 2D Matrix II,search-a-2d-matrix-ii,2,False,,0,False,240,1196957,2151209,False,
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,2,False,,0,False,241,353293,487228,False,
242,Valid Anagram,valid-anagram,1,False,,0,False,242,5059877,7560185,False,
243,Shortest Word Distance,shortest-word-distance,1,True,,0,False,243,234873,355934,False,
244,Shortest Word Distance II,shortest-word-distance-ii,2,True,,0,False,244,168945,271661,False,
245,Shortest Word Distance III,shortest-word-distance-iii,2,True,,0,False,245,89798,151845,False,
246,Strobogrammatic Number,strobogrammatic-number,1,True,,0,False,246,199957,420170,False,
247,Strobogrammatic Number II,strobogrammatic-number-ii,2,True,,0,False,247,157235,294988,False,
248,Strobogrammatic Number III,strobogrammatic-number-iii,3,True,,0,False,248,37892,89116,False,
249,Group Shifted Strings,group-shifted-strings,2,True,,0,False,249,301004,446181,False,
250,Count Univalue Subtrees,count-univalue-subtrees,2,True,,0,False,250,165828,289768,False,
251,Flatten 2D Vector,flatten-2d-vector,2,True,,0,False,251,140241,279343,False,
252,Meeting Rooms,meeting-rooms,1,True,,0,False,252,476816,807938,False,
253,Meeting Rooms II,meeting-rooms-ii,2,True,,0,False,253,1069993,2049482,False,
254,Factor Combinations,factor-combinations,2,True,,0,False,254,137729,273857,False,
255,Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,2,True,,0,False,255,91064,177179,False,
256,Paint House,paint-house,2,True,,0,False,256,233761,366257,False,
257,Binary Tree Paths,binary-tree-paths,1,False,,0,False,257,902287,1347588,False,
258,Add Digits,add-digits,1,False,,0,False,258,1022107,1502148,False,
259,3Sum Smaller,3sum-smaller,2,True,,0,False,259,166125,325572,False,
260,Single Number III,single-number-iii,2,False,,0,False,260,539307,765230,False,
261,Graph Valid Tree,graph-valid-tree,2,True,,0,False,261,489942,991383,False,
262,Trips and Users,trips-and-users,3,False,,0,False,262,242278,653249,False,
263,Ugly Number,ugly-number,1,False,,0,False,263,657795,1549414,False,
264,Ugly Number II,ugly-number-ii,2,False,,0,False,264,499790,1013668,False,
265,Paint House II,paint-house-ii,3,True,,0,False,265,138610,245280,False,
266,Palindrome Permutation,palindrome-permutation,1,True,,0,False,266,228700,333719,False,
267,Palindrome Permutation II,palindrome-permutation-ii,2,True,,0,False,267,74211,176046,False,
268,Missing Number,missing-number,1,False,,0,False,268,3243101,4603136,False,
269,Alien Dictionary,alien-dictionary,3,True,,0,False,269,452853,1232247,False,
270,Closest Binary Search Tree Value,closest-binary-search-tree-value,1,True,,0,False,270,429033,864827,False,
271,Encode and Decode Strings,encode-and-decode-strings,2,True,,0,False,271,266938,534216,False,
272,Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,3,True,,0,False,272,133068,219632,False,
273,Integer to English Words,integer-to-english-words,3,False,,0,False,273,551312,1600388,False,
274,H-Index,h-index,2,False,,0,False,274,752028,1857990,False,
275,H-Index II,h-index-ii,2,False,,0,False,275,244642,628653,False,
276,Paint Fence,paint-fence,2,True,,0,False,276,124492,260145,False,
277,Find the Celebrity,find-the-celebrity,2,True,,0,False,277,306698,632222,False,
278,First Bad Version,first-bad-version,1,False,,0,False,278,1980293,4295921,False,
279,Perfect Squares,perfect-squares,2,False,,0,False,279,979447,1754940,False,
280,Wiggle Sort,wiggle-sort,2,True,,0,False,280,153766,225247,False,
281,Zigzag Iterator,zigzag-iterator,2,True,,0,False,281,106456,161533,False,
282,Expression Add Operators,expression-add-operators,3,False,,0,False,282,286955,683609,False,
283,Move Zeroes,move-zeroes,1,False,,0,False,283,4266907,6777914,False,
284,Peeking Iterator,peeking-iterator,2,False,,0,False,284,240888,398033,False,
285,Inorder Successor in BST,inorder-successor-in-bst,2,True,,0,False,285,361944,711160,False,
286,Walls and Gates,walls-and-gates,2,True,,0,False,286,391335,619892,False,
287,Find the Duplicate Number,find-the-duplicate-number,2,False,,0,False,287,2244306,3555372,False,
288,Unique Word Abbreviation,unique-word-abbreviation,2,True,,0,False,288,78145,288042,False,
289,Game of Life,game-of-life,2,False,,0,False,289,583035,813923,False,
290,Word Pattern,word-pattern,1,False,,0,False,290,974543,2255071,False,
291,Word Pattern II,word-pattern-ii,2,True,,0,False,291,81809,168182,False,
292,Nim Game,nim-game,1,False,,0,False,292,469006,804336,False,
293,Flip Game,flip-game,1,True,,0,False,293,77556,119502,False,
294,Flip Game II,flip-game-ii,2,True,,0,False,294,74290,142343,False,
295,Find Median from Data Stream,find-median-from-data-stream,3,False,,0,False,295,1053128,1967992,False,
296,Best Meeting Point,best-meeting-point,3,True,,0,False,296,93098,152028,False,
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,3,False,,0,False,297,1071257,1806158,False,
298,Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,2,True,,0,False,298,157035,289986,False,
299,Bulls and Cows,bulls-and-cows,2,False,,0,False,299,417602,810001,False,
300,Longest Increasing Subsequence,longest-increasing-subsequence,2,False,,0,False,300,2279019,3919574,False,
301,Remove Invalid Parentheses,remove-invalid-parentheses,3,False,,0,False,301,482075,976958,False,
302,Smallest Rectangle Enclosing Black Pixels,smallest-rectangle-enclosing-black-pixels,3,True,,0,False,302,55975,92290,False,
303,Range Sum Query - Immutable,range-sum-query-immutable,1,False,,0,False,303,756053,1092231,False,
304,Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,2,False,,0,False,304,432552,761623,False,
305,Number of Islands II,number-of-islands-ii,3,True,,0,False,305,166678,414885,False,
306,Additive Number,additive-number,2,False,,0,False,306,107426,327971,False,
307,Range Sum Query - Mutable,range-sum-query-mutable,2,False,,0,False,307,312856,746972,False,
308,Range Sum Query 2D - Mutable,range-sum-query-2d-mutable,2,True,,0,False,308,81277,180785,False,
309,Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,2,False,,0,False,309,672200,1105799,False,
310,Minimum Height Trees,minimum-height-trees,2,False,,0,False,310,442278,1050979,False,
311,Sparse Matrix Multiplication,sparse-matrix-multiplication,2,True,,0,False,311,211972,307286,False,
312,Burst Balloons,burst-balloons,3,False,,0,False,312,379451,614166,False,
313,Super Ugly Number,super-ugly-number,2,False,,0,False,313,146834,322634,False,
314,Binary Tree Vertical Order Traversal,binary-tree-vertical-order-traversal,2,True,,0,False,314,559704,976445,False,
315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,3,False,,0,False,315,361562,841881,False,
316,Remove Duplicate Letters,remove-duplicate-letters,2,False,,0,False,316,394140,763408,False,
317,Shortest Distance from All Buildings,shortest-distance-from-all-buildings,3,True,,0,False,317,208892,469077,False,
